Sentence,Label
"Yes, our society definitely wants students to have children, for two reasons: First: students are smart, therefore their children might be smart, too. Second: older women have higher risks at giving birth. Students have the perfect age.",nothing
Nuclear energy should be invested in more.,nothing
It allows to get useful data for human research.,nothing
I don't think that's the case. Both companies serve different types of customers. Microsoft creates operating systems for the average pc-user whereas Apple has specialized in products for Yuppies.,nothing
It is against moral principles to torture or kill animals who feel pain.,nothing
"Yes, if someone is bad at school or has some misbehavior, additional time in school could help him to catch up for lost time.",nothing
Testing animals should be approved.,nothing
Of course they have been on the moon.,nothing
"I think it can have an effect on students that will get them to correct their behavior, as they may be embarrassed that they have detention. However, kids who get detention all the time end up enjoying it because all of their friends are in there and it becomes more of a playground, instead of punishment.",nothing
Many people are already killing themselves because they are terminally ill. It is their choice to choose if they want to live or die. A doctor should respect their choice and assist them either way.,nothing
Marijuana should be allowed as a medical drug.,nothing
"Marijuana has been shown in some cases to alleviate negative side effects from chemotherapy treatments, even when other treatments for the same side effects were ineffective. Patients deserve legal access to medicines which, when prescribed by a physician, provide relief for their symptoms.",nothing
"If a serious disease can be cured with the help of animal testing, we shouldn't hesitate.",nothing
It makes less environmental damage in the short run than burning fossil fuel.,nothing
"Greek should leave Eurozone, because the consequences will be minimal for the Eurozone. The consequences will be hard for Greeks, but they got to this situation themselves.",nothing
Drug testing athletes is justified.,nothing
I support the strike in Deutsche Post. Everyone deserves fair working conditions.,nothing
Television didn't destroy the communication among friends and families.,nothing
Children need daycare. But university is not the right place for daycare services. University is a place for education. There are enough existing public and private daycare-services. Put your children there.,nothing
"The main point of high schools is educating, that's true. Nevertheless, university provides services, which you can get outside of university as well. Think about sports-fields or dining-halls. Why not daycare?",nothing
The grading system is not effective because it doesn't consider all types of learning styles of the students.,nothing
Social networking binds society closer together.,nothing
Neuer is the best goalkeeper of the Soccer World Cup 2014.,nothing
"There are many cases where abortion should be legal. E.g., if a mother would die during the birth process, the state should leave the decision to her, as it is her life.",nothing
Tests can be also conducted by numerical simulations.,nothing
"No, because computers distract students. Very often they use computers for reasons not related to the class, which ultimately diminishes the educational effect of the class.",nothing
Heavy Metal is just a genre.,nothing
Flying cars are the consequent step forward in mobility technology.,nothing
"The animals are a part of nature like us and we, as humans, occupy their natural places. Not to harm them any further, they should have special rights.",nothing
"Yes, there is obviously a need for it. I've read that about 5 percent of all students have children. Students usually have to attend lectures and won't be home until 4 pm.",nothing
Co-ed schools are better for life.,nothing
Christians should follow the rules of their religion.,nothing
"No, the Scandinavian schools use another system and their students are the world's best. We are just average. It is not that effective.",nothing
"A group that refuses any diplomatic way on problem-solving and uses weapons straight away cannot be defeated without being at level with them, even though the number of those operations should be kept as small as possible.",nothing
Greece should leave the Eurozone because Europe needs to keep a responsible fiscal politics.,nothing
Nuclear power is an effective and reasonable energy source.,nothing
"Yes, humans are not only mainly responsible for all current environmental problems, but we are also directly affected. We face problems like natural catastrophes, destruction of farmland, destruction of inhabitable areas, and loss of resources.",nothing
"Sorry, but your argument is a racist one. Germany has already acted like this in the past. We may not act like this again if we want to get a better reputation in the world.",nothing
It will reduce crime.,nothing
You should test athletes.,nothing
Tests can be also conducted by numerical simulations.,nothing
"No, because computers distract students. Very often they use computers for reasons not related to the class, which ultimately diminishes the educational effect of the class.",nothing
Heavy Metal is just a genre.,nothing
"The animals are a part of nature like us, and we, as humans, occupy their natural places. To not harm them any further, they should have special rights.",nothing
"Yes, there is obviously a need for it. I've read that about 5 percent of all students have children. Students usually have to attend lectures and won't be home until 4 pm.",nothing
Christians should follow the rules of their religion.,nothing
"No, the Scandinavian schools use another system and their students are the world's best. We are just average. It is not that effective.",nothing
"A group that refuses any diplomatic way on problem-solving and uses weapons straight away cannot be defeated without being at level with them, even though the number of those operations should be kept as small as possible.",nothing
Greece should leave the Eurozone because Europe needs to keep a responsible fiscal politics.,nothing
Nuclear power is an effective and reasonable energy source.,nothing
"Yes, humans are not only mainly responsible for all current environmental problems, but we are also directly affected. We face problems like natural catastrophes, destruction of farmland, destruction of inhabitable areas, and loss of resources.",nothing
We should use animals as it is necessary to test.,nothing
It will reduce crime.,nothing
You should test athletes.,nothing
"Yes, before the incidents in Cologne, no newspaper reported crimes from refugees. I don't think that before this date no crimes from refugees were committed.",nothing
"Yes, they have a positive impact, because you are much more connected to others than you were earlier. More communication means better understanding of others. And better understanding leads to a more peaceful society.",nothing
"We need animal testing, even though it is horrible for the animals.",nothing
"I am glad that you are able to dance your name, but please don't try to make every other child a softy as well.",nothing
"If you look at the history, you will see that humanity has already tried a lot of different political systems. Democracy has always been the one where people were the happiest. Therefore, I say, yes.",nothing
Many other countries already allow it.,nothing
I'm basically against single-sex education.,nothing
Animal testing can have serious impacts on researching new technologies for curing diseases in humans.,nothing
"If my daughters can be in an environment that celebrates girls as intelligent, creative individuals, without the boy craziness, then I will take it.",nothing
Germany should deal with the criminal refugees there and not force them onto another country. Deal with your problems yourself.,nothing
"No, because they are near to human in terms of evolution and I would not want to be held in a zoo.",nothing
"Yes, if musicians are paid they will be given loyalty for their music.",nothing
We should allow it.,nothing
Adherents to a religion should follow the rules.,nothing
"Well in Germany this is not the case. The legal system works differently. The state prosecutor's main task is not to get you in jail, like it is in the USA. He has to investigate in both directions. That's why the process costs are less and that's why it is fair. Celebrities have the same chance as the average citizen.",nothing
Every human has his right to choose what he wants.,nothing
"No, economic growth is a tool to establish a good economy, which allows us to live a good life. Growth for a good life, not life for economic growth.",nothing
"Germany should help immigrants in need. Most of them left their homes not because of social or economic benefits, but because of the war.",nothing
Greece needs to stay in the EU for unity of Europe.,nothing
"Plastic surgery is very important, many people who got involved in severe accidents will tell you this. Think about victims of flames. Their bodies are often unrecognizably destroyed. Plastic surgery gives them their lives back.",nothing
"The strike is not justified, because the DP-workers work less than the average German worker but are paid average. Their conditions are okay.",nothing
School detention does more harm than good.,nothing
You should try to talk to your opponents - reasonable discussions and knowing why there is a clash of ideas is hard but gets you further than a simple brute force (= war).,nothing
Letting everyone vote is a bad idea.,nothing
Of course not.,nothing
Economical growth should not be the main goal of a country.,nothing
Drug testing is justified as it is necessary to create a fair and competitive environment.,nothing
Apple must pay the royalties for the streaming trial. The musicians don't ask for free iPhones either.,nothing
"Many people are superficial, and man as such is a social creature. So there is obviously a need for plastic surgeries.",nothing
Censoring the media will allow a tyrant like Hitler to enact laws without following the constitution and no one will call him out on it (kind of like Pres Obama).,nothing
"Apple shouldn't pay musicians any royalties for the three-months trial, because they can get rich enough from concerts.",nothing
"TV programs are driven by commercial interest, not science or experts.",nothing
Plastic surgery is a crucial field of medicine.,nothing
"If they are political refugees, we have a duty to help them.",nothing
"Really, nobody has the right to tell me what I can do at my home!",nothing
It is the only way to get reliable results.,nothing
Yes. Criminals are a danger to Germany's society.,nothing
Countries shouldn't adopt heavier penalties for drug use.,nothing
Disallowing people from Ebola infected countries to enter another country is against human rights.,nothing
Flying cars will become reality someday.,nothing
"Yes, Jesus has almost never used force. Just once to chase away some merchants. He preached of love and forgiveness. The religion builds upon his teachings, so yes, it is peaceful.",nothing
There are more gorillas raised in zoos and re-introduced into the wild than captured and kept.,nothing
"That is true. However, we cannot be sure others will be responsible.",nothing
Censorship helps protect children.,nothing
"With the actual milk price, the cows can be appropriately held, and the farmers can still achieve some earnings.",nothing
"Yes, homeschooling, everyone.",nothing
I think Titanic deserves 11 Oscars at once.,nothing
"He killed, yes. But this does not mean that it is impossible to talk to him. If we can save lives by this way, we should do it.",nothing
The current grading system just fails.,nothing
Democracy is peaceful.,nothing
Adolescence is hard enough without having to try learning in an environment of hormone-laced competition and distraction.,nothing
"The technical expertise is there, having space ships, airplanes etc., and sooner or later humans have always used technology to their advantage and to make things more comfortable/easier for them.",nothing
Same-sex couples should have access to the same benefits enjoyed by heterosexual married couples.,nothing
"Alle, die hier leben sollten auch involviert sein, wenn es darum geht was hier in Zukunft passiert. (Everyone living here should also be involved when it comes to deciding what happens here in the future.)",nothing
"Smoking at home is dangerous, as exactly as eating cheese at home or walking up and down stairs. There is no explicit reason to make it illegal.",nothing
Microsoft can't be the new Apple. Apple focuses on innovative design. Microsoft focuses on software for productivity and products that don't have to be innovative in design.,nothing
"Some shows on TV serve educational purposes, but most of them are totally worthless. There is no chance that a mind of a child builds up, when it watches Celebrity-news.",nothing
"Yes, companies are already working on creating cars which are able to fly quite successfully. Thus, flying cars will become reality in the near future.",nothing
"Yes, school uniforms do create a better learning environment.",nothing
Home school provides a better education than underfunded public schools.,nothing
Alternative energy resources are too expensive.,nothing
This would cause significant disadvantages for children from non-academic families.,nothing
Animal testing for medical purposes should be allowed.,nothing
Microsoft is the new apple.,nothing
"It is obvious that anyone has been on the moon. Meanwhile, 2015, there have been quite a lot expeditions to the moon. The newer ones were even livestreamed on Twitter and co. Don't tell me the government fakes livestreams.",nothing
To find out if there is a reason for the American war on terror let's take a look at the results nearly one and a half decade later.,nothing
Cellphones should be banned from classrooms.,nothing
It is best to home school our kids.,nothing
"It has to be balanced, but for life-saving drugs, it should be allowed on non-endangered animal species.",nothing
Animal testing helps to improve medical care for everybody.,nothing
"They brought several kilos of moon rocks back to earth, and you cannot simply fake four billion years old rock material.",nothing
"I don't think so, he lived too short in order to have the most influence. Dr. Dre for example had much more influence. He started the rap-movement with Eazy-E and Ice Cube. He just sold his headphone brand for around 250 million dollars. This amount of money shows how influential Dr. Dre is. Tupac never had this much money.",nothing
Marijuana has been shown to be effective in treating glaucoma.,nothing
That Marijuana should be legalized.,nothing
"Although any suffering of living creatures should be avoided, I guess it's commonly accepted by the society that medical purposes testing has more benefits than harms.",nothing
"This programming language is open for everybody, so it encourages more developers to participate.",nothing
Only a few countries contribute to the majority of pollution.,nothing
Renewable energy sources will not soon replace fossil fuels.,nothing
"Well, Ebola is a disease and it makes sense to coordinate countries worldwide to fight against it. To me, global environmental task force sounds fuzzy without a clear purpose. We don't need such an organization.",nothing
Humans are to blame for some animal extinctions.,nothing
Yes. It will allow the mothers to go to school and help the children to grow up better.,nothing
"Economic experts say that further austerity measures will not be beneficial, so we should help Greece with new investment to keep it in the Eurozone.",nothing
"In modern jobs, home office is already the standard, because the workers are more productive at home. Why shouldn't this be better for kids as well?",nothing
Neuer is the best goalkeeper of the World Cup by far as he let very few balls slip by.,nothing
Kids need to go to a proper school and home schooling harms them.,nothing
Decreasing the price will increase the demand.,nothing
Athletes definitely should be drug tested!,nothing
The EU would be better adapting so that Greece is able to function well while staying in the country.,nothing
But every country that agreed to be in the EU agreed to an obligation to support other EU countries.,nothing
"If marijuana is provided by the pharmacies or health centers to the individuals with prescriptions for health purposes in a controlled way, that should be allowed.",nothing
"Everyone can choose what movies to watch, and we should respect everyone's preferences.",nothing
Making money out of someone else's art product is stealing. Apple should simply avoid that and pay the royalties.,nothing
Of course they should be allowed to enter the country.,nothing
"The price of milk should not be increased. It is an important healthy drink. If we increase it, things like pop might become the more affordable go-to choice.",nothing
"After reminding the baby-carrier woman of the consequences and the possible health-related problems, the decision should be left to first her and second to the partner because the woman is the laborer of the process and both parties are the initial responsibles.",nothing
We need to prevent another school tragedy so one way to do that would be to have 911 at hand at all times.,nothing
"You can have several hundred friends on Facebook. In the real world, it is impossible.",nothing
"No. No one deserves that title. Since players play such different positions, you can't really compare goalies and offensive players and defensive players. Perhaps you could argue that someone was the best player in a position, but Ronaldo and others can't be named the best in the world.",nothing
Animal testing leads to medicaments with fewer harmful side effects.,nothing
Because all immigrants must be equal.,nothing
We should allow animal testing!,nothing
Animal testing is a good alternative to human testing.,nothing
Microsoft just recently revealed some great new innovative products.,nothing
A global environment task force is a major requirement.,nothing
It is not fair to judge students by grades.,nothing
"Every country should aim for growth, but ultimately environmental sustainability and equalitarian distribution of wealth should be first.",nothing
"Single sex education has been very good for girls, especially.",nothing
"With the goal in mind to improve everyone's situation, growth is good for a country.",nothing
Medicine has proven that marijuana is good to mitigate some bad effects of cancer-related side effects. Make it easier for those patients and legalize it.,nothing
Animal testing helps save lives.,nothing
Farmers deserve to be paid enough.,nothing
Home schooling has many benefits and therefore should be the first choice for parents.,nothing
"I don't think daycare services should be provided by high schools themselves, rather existing facilities (kindergarten) should be used. The main point of high schools is to educate people, not to care about babies.",nothing
Children are not active when sitting in front of a TV.,nothing
"Although it is a barbarian act, we need animal testing.",nothing
"Nowadays, nuclear power is the most effective and safest energy source we have.",nothing
"Accepting immigrants in Europe must be taken seriously and deserves coordination and investments, as we cannot directly influence the sources of immigration - ending the war in Libya or changing the regime in Eritrea.",nothing
Animal testing for medical purposes should be allowed.,nothing
"No. Greece is one of the countries that, in its history, has contributed to a European union the most. Throwing this country out of it, would therefore destroy confidence in this community, the most.",nothing
"Interestingly, the boys I know from single-sex schools seem more against it than the girls and they do feel they were socially hampered a bit.",nothing
"To revisit the oceans paleotemperatures now, we need to carefully quantify this re-equilibration, which has been overlooked for too long. For that, we have to work on other types of marine organisms so that we clearly understand what took place in the sediment over geological time.",nothing
Sea ice has diminished much faster than scientists and climate models anticipated.,nothing
Mass coral bleaching is a new phenomenon and was never observed before the 1980s as global warming ramped up.,nothing
"Back in the late 1980s, the UN claimed that if global warming were not checked by 2000, rising sea levels would wash entire countries away.",nothing
Extremely remarkable 2017 heads toward record for hottest year without an El Niño episode.,nothing
"The tropical storm, feeding off this unusual warmth, was able to progress from a tropical depression to a category-four hurricane in roughly 48 hours.",nothing
"As time progresses and fossil fuel emissions increase, the number of record highs should increase and record lows should decrease.",nothing
"Scientists such as Dr Willie Soon, a solar astrophysicist at the Harvard-Smithsonian Center for Astrophysics, have shown that as water vapor rises, so does temperature. It is why cloudless nights are so chilly.",nothing
"Temperatures in the Southwest increased by nearly two degrees Fahrenheit (one degree Celsius) from 1901 to 2010, and some climate models forecast a total rise of six degrees or more by the end of this century.",nothing
"Sea ice thickness also substantially declined in the latter half of the 20th century, the snow and ice data center said.",nothing
The world’s alpine glaciers recorded a net annual loss of ice for the 36th consecutive year and the Greenland ice sheet experienced melting over more than 50% of its surface.,nothing
"These facts are completely supported by 4,000 ocean floats.",nothing
"Most of the atmospheric moisture originates in the tropical ocean, and the difference between surface and upper atmospheric temperature determines how much of the moisture rises into the atmosphere.",nothing
"Last year's warmth was manifested across the planet, from the warm tropical ocean waters off the coast of northeastern Australia, where the Great Barrier Reef experienced its worst coral bleaching event on record and large scale coral death, to the Arctic, where sea ice hit regular monthly record lows and overall temperatures were also the warmest on record, at least from January through September 2016.",nothing
"We have known for decades that increasing CO2 and precipitation from global warming will make the world much greener – by the end of the century, it is likely that global biomass will have increased by forty percent.",nothing
"Because the collapse of vulnerable parts of the ice sheet could raise the sea level dramatically, the continued existence of the world's great coastal cities — Miami, New York, Shanghai and many more — is tied to Antarctica's fate.",nothing
"Warm weather worsened the most recent five-year drought, which included the driest four-year period on record in terms of statewide precipitation. California’s first-, second-, and third-hottest years on record, in terms of statewide average temperatures, were 2014, 2015, and 2016.",nothing
Most people expect this year will see a record low in the Arctic's summer sea-ice cover.,nothing
"At the bottom of the world, sea ice is also at all-time record low levels around Antarctica, the data center said. The lack of ice in the Antarctic, where it is currently summer, is most pronounced in the Amundsen Sea, where only a few scattered patches of ice remain.",nothing
"Incorporating recent advances in the understanding of how ice sheets might break apart, they found that both West Antarctica and some vulnerable parts of East Antarctica would go into an unstoppable collapse if the Earth continued to warm at a rapid pace. In their worst-case scenario, the sea level could rise by six feet by the end of this century, and the pace could pick up drastically in the 22nd century. Dr. DeConto and Dr. Pollard do not claim that this is a certainty — they acknowledge that their analysis is still rough — but they argue that the possibility should be taken seriously.",nothing
"An inherent bias in scientific journals in favor of more calamitous predictions has excluded research showing that marine creatures are not damaged by ocean acidification, which is caused by the sea absorbing carbon dioxide from the atmosphere.",nothing
"The ocean has accelerated and is now rising at a rate of about a foot per century. The risk is that the rate will increase still more. Scientists who study the Earth's history say waters could rise by a foot per decade in a worst-case scenario, though that looks unlikely. Many experts believe that even if emissions stopped tomorrow, 15 or 20 feet of sea level rise is already inevitable, enough to flood many cities unless trillions of dollars are spent protecting them. How long it will take is unclear. But if emissions continue apace, the ultimate rise could be 80 or 100 feet.",nothing
"CO2 is certainly a heat-trapping greenhouse gas, but hardly the primary one: Water vapor accounts for about 95 percent of greenhouse gases. By contrast, carbon dioxide is only a trace component in the atmosphere: about 400 ppm (parts per million), or 0.04 percent.",nothing
"The atmospheric residency time of carbon dioxide is five years and it is quickly sequestered into plants, marine life, oceans, and sediments.",nothing
"Since the beginning of the Industrial Revolution, the average pH of global ocean surface waters has fallen from pH 8.2 to 8.1. This represents an increase in acidity of about 26%.",nothing
Entire states and nations have to decide to clean up their energy systems.,nothing
"Research shows that this process is overpowering the erosion from sea-level rise, leading to net land-area gain. This is not only true for the Marshall Islands. Several studies have documented noteworthy shoreline progradation and positional changes of islands since the mid-20th century, resulting in a net increase in island area.",nothing
The Northern Hemisphere jet stream flow is stronger when that temperature difference is large. But when the Arctic warms up faster than the equator does the jet stream’s flow can become weakened and elongated. That’s when you can get the resultant weather extremes.,nothing
"In 2004, two NOAA scientists, Richard Feely and Christopher Sabine, produced a chart showing a strong correlation between rising atmospheric CO2 levels and falling oceanic pH levels. But then, just over a year ago, Mike Wallace, a hydrologist with 30 years’ experience, noticed while researching his PhD that they had omitted some key information his results were surprising: there has been no reduction in oceanic pH levels in the last century.",nothing
"Australias Great Barrier Reef is one of the world’s greatest reservoirs of biodiversity. A World Heritage site, it is currently under assault from unusually hot ocean temperatures.",nothing
"Consider where they move. Migration patterns show people heading for warm states like Texas and Florida, not snowy Minnesota and Michigan.",nothing
"This means it is possible that by some yardsticks, 2016 will be declared as hot as 2015 or even slightly hotter because El Nino did not vanish until the middle of the year.",nothing
Climate change will also reduce the number of cold days and cold spells. That will cut the total number of cold-related deaths.,nothing
"In 2004, two NOAA scientists, Richard Feely and Christopher Sabine, produced a chart showing a strong correlation between rising atmospheric CO2 levels and falling oceanic pH levels. But then, just over a year ago, Mike Wallace, a hydrologist with 30 years’ experience, noticed while researching his PhD that they had omitted some key information his results were surprising: there has been no reduction in oceanic pH levels in the last century.",nothing
But experts say the energy transition needs to speed up drastically to head off the worst effects of climate change.,nothing
"The U.S. National Climate Assessment found that U.S. heat waves have already become more frequent and intense, that the U.S. is shattering high temperature records far more frequently than it is shattering low temperature records (just as you’d expect), and that it is seeing correspondingly fewer cold spells.",nothing
The blue bars show where the raw temperature data has been adjusted downwards to make it cooler; the red bars show where the raw temperature data has been adjusted upwards to make it warmer.,nothing
Construction and maintenance of wind and solar facilities release far more carbon dioxide than they are meant to save over their working lives and they need to be supported 24/7 by coal-fired generators.,nothing
Even more heretical than his enthusiasm for fracking is Lovelocks passionate support for nuclear power.,nothing
"The problem with this ploy is that carbon dioxide is not a pollutant and it is dishonest to say it is. CO2 is colorless, odorless and completely non-toxic. Plants depend on it to live and grow, and human beings draw some into their lungs with every breath they take to no ill effect whatsoever. Growers regularly pump CO2 into greenhouses, raising levels to three times that of the natural environment, to produce stronger, greener, healthier plants.",nothing
"Already, scientists know enough to be concerned. About 120,000 years ago, before the last ice age, the planet went through a natural warm period, with temperatures similar to those expected in coming decades. The sea level was 20 to 30 feet higher than it is today, implying that the ice sheets in both Greenland and Antarctica must have partly disintegrated, a warning of what could occur in the relatively near future if the heating of the planet continues unchecked.",nothing
"The heat extremes were especially pervasive in the Arctic, with temperatures in the fall running 20 to 30 degrees Fahrenheit above normal across large stretches of the Arctic Ocean.",nothing
"In its 5th assessment report in 2013, the IPCC estimated that human emissions are probably responsible for more than half of the observed increase in global average temperature from 1951 to 2010. But it means a chunk of the rise is coming from elsewhere.",nothing
"In the past, the atmospheric carbon dioxide content has been orders of magnitude higher than now, yet there were ice ages.",nothing
"Arctic land stores about twice as much carbon as the atmosphere. While growing seasons—which are now either longer or newly possible, depending on the exact location—suck in carbon dioxide during the spring and summer, scientists believe the thawing lands are now emitting more carbon than they take in.",nothing
"Antarctica, the planet’s largest ice sheet, lost 219 billion tons of ice annually from 2012 through 2017 — approximately triple the 73 billion ton melt rate of a decade ago, the scientists concluded. From 1992 through 1997, Antarctica lost 49 billion tons of ice annually.",nothing
"How did a wet Western winter lead to a sky-choking summer? The answer lies in the summer’s record-breaking heat, say wildfire experts. Days of near-100-degree-Fahrenheit temperatures cooked the Mountain West in early July, and a scorching heat wave lingered over the Pacific Northwest in early August.",nothing
"According to the satellites, the late 2016 temperatures are returning to the levels they were at after the 1998 El Nino.",nothing
So it’s been a surprise to climate scientists that 2017 has been so remarkably warm—because the last El Nino ended a year ago.,nothing
"The dry periods are drier and the wet periods are wetter, said Jeffrey Mount, a water expert and senior fellow at the Public Policy Institute of California.",nothing
"Warm weather worsened the most recent five-year drought, which included the driest four-year period on record in terms of statewide precipitation. California’s first-, second- and third-hottest years on record, in terms of statewide average temperatures, were 2014, 2015, and 2016.",nothing
"CO2 is going up, but nowhere near as fast as they thought it would. The computer models just weren’t reliable.",nothing
These effects could add 50% to the impact of global warming that is produced by rising carbon emissions.,nothing
"the researchers calculated that the impact of greenhouse gas emissions from wet soils, or wetlands, will be higher than from drier soils. This finding, if further confirmed, could reorient calculations of the overall potential of permafrost to worsen global warming over the coming century.",nothing
Global human emissions are only 3 per cent of total annual emissions.,nothing
"Burning gas instead of coal in power plants reduces emissions in the short run, though gas is still a fossil fuel and will have to be phased out in the long run.",nothing
"In the U.S. about 9,000 people die from heat each year but 144,000 die from cold.",nothing
Drought in the western U.S. pales in comparison to the mega-droughts tree rings tell us existed in centuries past.,nothing
climate change will also reduce the number of cold days and cold spells. That will cut the total number of cold-related deaths.,nothing
Representatives from the Marshall Islands have been vocal about the need for strong global action on climate. President Hilda Heine has told reporters that longtime residents are leaving the Marshall Islands because climate change is threatening the nation’s existence.,nothing
"Sea level rise is global. But due to a variety of factors – including, for this part of the Atlantic coast, a likely weakening of the Gulf Stream, itself potentially a result of the melting of Greenland’s ice caps – south Floridians are feeling the effects more than many others. While there has been a mean rise of a little more than 3mm per year worldwide since the 1990s, in the last decade, the NOAA Virginia Key tide gauge just south of Miami Beach has measured a 9mm rise annually.",nothing
"His Gaia hypothesis, which contends that the earth is a single, self-regulating organism, is now accepted as the founding principle of most climate science.",nothing
Stress from unusually warm ocean water heated by man-made climate change and the natural El Niño climate pattern caused the die-off.,nothing
"In its 5th assessment report in 2013, the IPCC estimated that human emissions are probably responsible for more than half of the observed increase in global average temperature from 1951 to 2010. But it means a chunk of the rise is coming from elsewhere.",nothing
"The amount of summer sea ice in the Arctic has steadily declined over the past few decades because of man-made global warming, according to the National Oceanic and Atmospheric Administration.",nothing
"Instead of a three-foot increase in ocean levels by the end of the century, six feet was more likely, according to DeConto and Pollard’s findings. But if carbon emissions continue to track on something resembling a worst-case scenario, the full 11 feet of ice locked in West Antarctica might be freed up, their study showed.",nothing
